,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
1200,CA,Rancho Cucamonga Dist #1,IPP Non-CHP,San Bernardino,34.100278,-117.552778,"Altus Power America Management, LLC",California Independent System Operator,SOLAR,1.8,3419,,0,0,0,0,0,0,3419,0,0,0,3419
1201,CA,Rancho Penasquitos,IPP Non-CHP,San Diego,32.93695,-117.113669,San Diego County Water Auth,California Independent System Operator,HYDRO,4.6,16135,,0,0,0,16135,0,0,0,0,0,0,16135
1202,CA,"Rancho Seco Solar II, LLC",IPP Non-CHP,Sacramento,38.346814,-121.119839,"Rancho Seco Solar II, LLC",Balancing Authority of Northern California,SOLAR,160,216715,,0,0,0,0,0,0,216715,0,0,0,216715
1203,CA,"Rancho Seco Solar, LLC",IPP Non-CHP,Sacramento,38.339857,-121.114494,"Rancho Seco Solar, LLC",Balancing Authority of Northern California,SOLAR,10.8,17667,,0,0,0,0,0,0,17667,0,0,0,17667
1204,CA,Ratkovich Alhambra,IPP Non-CHP,Los Angeles,34.08145,-118.15191,Bloom Energy,California Independent System Operator,GAS,1,4548,,0,0,4548,0,0,0,0,0,0,4548,0
1205,CA,RCWD PV Project,IPP Non-CHP,Riverside,33.5226,-117.1815,MN8 Energy LLC,California Independent System Operator,SOLAR,4.1,9584,,0,0,0,0,0,0,9584,0,0,0,9584
1206,CA,"RE Adams East, LLC",IPP Non-CHP,Fresno,36.6175,-120.290833,Onward Energy,California Independent System Operator,SOLAR,19,41265,,0,0,0,0,0,0,41265,0,0,0,41265
1207,CA,RE Astoria,IPP Non-CHP,Kern,34.844226,-118.458466,RE Astoria LLC,California Independent System Operator,SOLAR,100,290547,,0,0,0,0,0,0,290547,0,0,0,290547
1208,CA,RE Astoria 2,IPP Non-CHP,Kern,34.836649,-118.480204,RE Astoria 2 LLC,California Independent System Operator,SOLAR,75,232231,,0,0,0,0,0,0,232231,0,0,0,232231
1209,CA,RE Barren Ridge 1,IPP Non-CHP,Kern,35.20473,-118.06875,"RE Barren Ridge 1, LLC",Los Angeles Department of Water and Power,SOLAR,60,169346,,0,0,0,0,0,0,169346,0,0,0,169346
1210,CA,RE Bruceville 1 LLC,IPP Non-CHP,Sacramento,38.3475,-121.412777,MN8 Energy LLC,Balancing Authority of Northern California,SOLAR,5,11111,,0,0,0,0,0,0,11111,0,0,0,11111
